text,polyline,mileage_m
46,"617359.971,3401324.489;617364.153,3401326.383;617365.336,3401323.761;617368.663,3401325.277;617372.806,3401316.163;617365.296,3401312.752;617359.971,3401324.489",61426.774
48,"617331.926,3401310.200;617326.167,3401323.275;617338.790,3401328.563;617343.937,3401315.408;617331.926,3401310.200",61452.639
49,"617331.926,3401310.200;617343.937,3401315.408;617348.510,3401304.866;617336.474,3401299.658;617331.926,3401310.200",61455.78
50,"617314.940,3401312.161;617321.982,3401315.627;617324.922,3401309.657;617321.673,3401308.063;617322.596,3401306.179;617323.441,3401306.596;617324.804,3401303.723;617330.075,3401306.247;617333.580,3401298.826;617323.402,3401294.066;617314.940,3401312.161",61468.27
51,"617314.940,3401312.161;617321.982,3401315.627;617324.922,3401309.657;617321.673,3401308.063;617322.596,3401306.179;617323.441,3401306.596;617324.804,3401303.723;617330.075,3401306.247;617333.580,3401298.826;617323.402,3401294.066;617314.940,3401312.161",61469.453
52,"617303.431,3401297.637;617299.260,3401304.212;617311.573,3401311.895;617316.625,3401301.820;617310.897,3401298.098;617308.897,3401301.179;617303.431,3401297.637",61484.167
53,"617303.431,3401297.637;617311.090,3401285.780;617322.317,3401293.047;617316.625,3401301.820;617310.897,3401298.098;617308.897,3401301.179;617303.431,3401297.637",61484.914
54,"617293.258,3401288.784;617288.307,3401296.445;617298.362,3401303.326;617303.295,3401295.227;617293.258,3401288.784",61498.188
55,"617293.258,3401288.784;617303.295,3401295.227;617309.686,3401285.237;617299.596,3401278.806;617293.258,3401288.784",61499.066
56,"617283.007,3401278.339;617292.819,3401284.325;617297.165,3401277.159;617287.288,3401271.205;617283.007,3401278.339",61513.733
57,"617284.327,3401276.140;617282.264,3401274.735;617276.075,3401285.423;617281.267,3401288.521;617282.233,3401287.261;617289.240,3401290.950;617292.819,3401284.325;617283.007,3401278.339;617284.327,3401276.140",61515.361
58,"617195.208,3401274.771;617200.444,3401276.307;617205.484,3401261.645;617200.405,3401259.956;617195.208,3401274.771",61591.066
59,"617183.084,3401274.039;617189.083,3401276.259;617193.484,3401264.355;617185.695,3401261.476;617182.710,3401269.558;617184.492,3401270.216;617183.084,3401274.039",61596.513
60,"617183.084,3401274.039;617189.083,3401276.259;617193.484,3401264.355;617185.695,3401261.476;617182.710,3401269.558;617184.492,3401270.216;617183.084,3401274.039",61601.522
61,"617204.930,3401232.460;617201.741,3401243.538;617206.004,3401244.757;617206.903,3401241.630;617214.115,3401243.697;617216.895,3401233.900;617210.661,3401232.159;617210.169,3401233.922;617204.930,3401232.460",61602.272
62,"617194.502,3401225.778;617191.190,3401240.544;617199.702,3401243.476;617204.224,3401228.428;617194.502,3401225.778",61613.698
64,"617204.930,3401232.460;617208.414,3401219.974;617220.267,3401223.286;617217.269,3401234.005;617210.660,3401232.157;617210.169,3401233.922;617204.930,3401232.460",61605.253
65,"617192.448,3401225.217;617194.882,3401216.225;617206.674,3401219.429;617204.224,3401228.428;617192.448,3401225.217",61619.344
66,"616958.992,3401093.583;616966.973,3401097.700;616963.745,3401103.922;616966.366,3401105.264;616963.506,3401110.756;616952.906,3401105.224;616958.992,3401093.583",61882.16
67,"616958.992,3401093.583;616966.973,3401097.700;616963.745,3401103.922;616966.366,3401105.264;616963.506,3401110.756;616952.906,3401105.224;616958.992,3401093.583",61881.392
68,"616941.134,3401097.787;616946.540,3401087.156;616957.990,3401092.978;616952.585,3401103.609;616941.134,3401097.787",61895.877
69,"616802.939,3400987.038;616814.082,3400992.016;616817.839,3400983.609;616806.697,3400978.630;616802.939,3400987.038",62073.651
70,"616806.697,3400978.630;616801.174,3400976.543;616802.134,3400974.452;616799.410,3400973.372;616798.431,3400975.330;616799.995,3400976.257;616794.926,3400990.161;616811.164,3400997.420;616814.082,3400992.016;616802.939,3400987.038;616806.697,3400978.630",62081.484
71,"616791.830,3400899.264;616789.102,3400908.800;616777.576,3400906.022;616783.142,3400888.720;616786.227,3400890.024;616784.485,3400895.710;616788.733,3400897.010;616788.362,3400898.226;616791.830,3400899.264",62143.451
72,"616748.634,3400885.867;616759.712,3400888.979;616762.145,3400880.314;616751.068,3400877.202;616748.634,3400885.867",62170.22
73,"616748.634,3400885.867;616746.426,3400892.894;616743.122,3400891.906;616739.949,3400900.505;616760.346,3400907.584;616763.044,3400899.413;616759.454,3400898.107;616761.723,3400889.460;616759.712,3400888.979;616748.634,3400885.867",62171.913
74,"616748.634,3400885.867;616759.712,3400888.979;616762.145,3400880.314;616751.068,3400877.202;616748.634,3400885.867",62177.143
75,"616738.848,3400883.035;616742.712,3400884.157;616742.406,3400885.176;616746.257,3400886.318;616749.298,3400876.047;616741.591,3400873.767;616738.848,3400883.035",62187.84
76,"616741.240,3400874.951;616737.196,3400874.098;616733.551,3400886.511;616730.104,3400885.364;616728.331,3400890.923;616737.870,3400894.050;616739.837,3400888.259;616745.096,3400890.014;616746.257,3400886.318;616742.406,3400885.176;616742.712,3400884.157;616738.848,3400883.035;616741.240,3400874.951",62189.73
77,"616720.002,3400879.211;616723.148,3400868.813;616732.544,3400871.656;616730.967,3400876.868;616733.684,3400877.689;616732.099,3400882.900;616720.002,3400879.211",62202.959
78,"616722.797,3400869.973;616718.051,3400868.544;616713.755,3400884.158;616727.302,3400888.059;616728.677,3400881.856;616720.002,3400879.211;616722.797,3400869.973",62207.346
79,"616701.666,3400856.799;616699.628,3400855.605;616696.984,3400861.029;616699.581,3400862.252;616698.517,3400865.220;616710.930,3400871.217;616718.206,3400857.488;616713.090,3400854.834;616709.313,3400861.870;616701.747,3400857.863;616701.666,3400856.799;616701.666,3400856.799",62231.865
80,"616709.313,3400861.870;616701.747,3400857.863;616701.497,3400854.594;616704.970,3400848.168;616709.654,3400850.819;616708.834,3400852.653;616713.090,3400854.834;616709.313,3400861.870",62233.088
81,"616204.586,3400621.251;616204.646,3400610.295;616213.098,3400610.364;616212.987,3400619.754;616208.436,3400619.684;616208.421,3400621.353;616204.586,3400621.251",62777.66
82,"616204.586,3400621.251;616204.646,3400610.295;616213.098,3400610.364;616212.987,3400619.754;616208.436,3400619.684;616208.421,3400621.353;616204.586,3400621.251",62782.028
83,"616196.910,3400575.681;616196.807,3400564.550;616200.869,3400564.315;616199.990,3400558.835;616215.037,3400555.314;616214.876,3400558.196;616213.355,3400560.202;616214.963,3400574.679;616196.910,3400575.681",62810.47
84,"616207.425,3400540.875;616204.288,3400532.133;616212.405,3400529.221;616216.235,3400539.903;616211.862,3400541.470;616211.167,3400539.530;616207.425,3400540.875",62820.34
85,"616204.288,3400532.133;616194.413,3400536.063;616199.422,3400550.468;616215.782,3400545.324;616216.235,3400539.903;616211.862,3400541.470;616211.167,3400539.530;616207.425,3400540.875;616204.288,3400532.133",62821.178
86,"616146.304,3400536.010;616142.226,3400524.106;616150.821,3400521.184;616152.988,3400527.623;616155.561,3400526.763;616157.409,3400532.303;616146.304,3400536.010",62876.629
87,"616146.304,3400536.010;616142.226,3400524.106;616150.821,3400521.184;616152.988,3400527.623;616155.561,3400526.763;616157.409,3400532.303;616146.304,3400536.010",62867.252
88,"616132.241,3400536.733;616134.606,3400544.925;616146.970,3400541.484;616145.168,3400532.694;616132.241,3400536.733",62880.952
89,"616119.866,3400540.598;616122.947,3400549.892;616133.752,3400546.888;616130.361,3400536.821;616119.866,3400540.598",62890.061
90,"616145.168,3400532.694;616132.241,3400536.733;616129.535,3400528.071;616142.226,3400524.106;616145.168,3400532.694",62887.289
91,"616119.866,3400540.598;616116.881,3400532.304;616127.376,3400528.527;616130.361,3400536.821;616119.866,3400540.598",62897.179
92,"616103.456,3400536.597;616101.714,3400537.503;616102.011,3400538.616;616096.628,3400539.787;616098.994,3400546.785;616102.476,3400546.133;616105.885,3400556.327;616121.240,3400551.233;616118.052,3400541.425;616105.998,3400545.050;616103.456,3400536.597",62908.322
93,"616105.998,3400545.050;616103.456,3400536.597;616115.510,3400532.972;616118.052,3400541.425;616105.998,3400545.050",62906.253
94,"615873.530,3400363.984;615876.696,3400364.874;615876.966,3400363.892;615880.829,3400364.966;615880.459,3400366.278;615885.224,3400367.632;615883.723,3400372.808;615880.024,3400371.667;615877.993,3400378.701;615872.315,3400377.035;615874.628,3400369.174;615872.228,3400368.478;615873.530,3400363.984",63191.817
96,"615862.005,3400373.241;615870.161,3400375.605;615873.530,3400363.984;615865.374,3400361.620;615862.005,3400373.241",63201.03
97,"615848.995,3400367.817;615851.134,3400358.159;615863.247,3400360.838;615861.141,3400370.351;615857.026,3400369.435;615856.182,3400373.233;615851.800,3400372.259;615852.618,3400368.571;615848.995,3400367.817",63212.604
98,"615848.995,3400367.817;615847.246,3400375.846;615853.791,3400377.253;615854.705,3400372.905;615851.800,3400372.259;615852.618,3400368.571;615848.995,3400367.817",63213.713
99,"615849.261,3400358.452;615837.272,3400355.672;615833.240,3400373.689;615844.782,3400376.460;615849.261,3400358.452",63225.858
100,"615813.825,3400358.899;615819.235,3400360.273;615818.377,3400363.557;615824.937,3400365.245;615828.228,3400352.458;615816.270,3400349.385;615813.825,3400358.899",63249.097
101,"615815.984,3400350.496;615811.915,3400349.447;615807.636,3400366.074;615824.095,3400370.309;615825.369,3400365.352;615818.377,3400363.557;615819.235,3400360.273;615813.825,3400358.899;615815.984,3400350.496",63250.831
102,"615711.781,3400341.007;615716.680,3400342.381;615716.436,3400343.257;615720.529,3400344.332;615720.664,3400343.707;615723.897,3400344.490;615726.342,3400334.348;615729.571,3400335.280;615723.920,3400353.625;615697.922,3400346.078;615702.180,3400331.568;615706.923,3400333.279;615708.469,3400328.185;615714.309,3400329.383;615713.831,3400331.432;615711.781,3400341.007",63351.325
103,"615711.781,3400341.007;615716.680,3400342.381;615716.436,3400343.257;615720.529,3400344.332;615720.664,3400343.707;615723.897,3400344.490;615726.342,3400334.348;615722.826,3400333.503;615723.206,3400331.896;615718.057,3400330.719;615717.716,3400332.273;615713.831,3400331.432;615711.781,3400341.007",63348.419
